procedure_name,status,scripted_file,reference_count,live_reference_count,first_reference,notes
Sp_Print_RouteCard,missing,,2,2,V.SMART/V.SMART.Shared/Pages/Planning_Module_Pages/RouteCard_Pages/RouteCardDetails.razor:327,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_Salary,missing,,2,1,V.SMART/V.SMART.Shared/Pages/HumanResource_Pages/Payroll_Pages/SalaryDetails.razor:310,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_SingleProcessInspection,missing,,4,4,V.SMART/V.SMART.Shared/Pages/SalesAndLabour_pages/LabourInvoice_Pages/LabourInvoiceDetails.razor:596,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_SubConDcOut,scripted,Existing Store Procedures/StoredProcedures/Sp_Print_SubConDcOut.sql,2,2,V.SMART/V.SMART.Shared/Pages/OutSourcing_Module_pages/SubContractDCOut_Pages/SubContractDCOutDetails.razor:272,
Sp_Print_SubconSCN,missing,,2,2,V.SMART/V.SMART.Shared/Pages/OutSourcing_Module_pages/SubContractSCN_pages/SubConSCNDetails.razor:307,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_ToolCribIssueNote,missing,,2,2,V.SMART/V.SMART.Shared/Pages/Inventory(Stock)_Module_Pages/ToolCribIssue_Pages/ToolCribIssueDetails.razor:208,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_Print_ToolCribReturn,missing,,2,2,V.SMART/V.SMART.Shared/Pages/Inventory(Stock)_Module_Pages/ToolCribReturn_Pages/ToolCribReturnDetails.razor:267,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_PurchaseSalesTrack,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ReportService/TrackReportService/PurchaseSalesTrackReportServices.cs:48,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_RouteCardAnalysisDetails,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ReportService/AnalysisReportService/RouteCardAnalysisService.cs:71,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_RouteCardAnalysisSummary,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ReportService/AnalysisReportService/RouteCardAnalysisService.cs:55,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_StockAnalysis,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ReportService/AnalysisReportService/StockAnalysisService.cs:139,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_StockLedger,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ReportService/AnalysisReportService/StockLedgerReportService.cs:52,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_TDSReport,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/AccountsService/TDSSummaryService.cs:76,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
Sp_VendorPRRating,missing,,1,1,V.SMART/V.SMART.Shared/BusinessLayer/BusinessService/ReportService/Rating_Services/PrPoRatingService.cs:106,No DDL for this name anywhere in the repository. Worklist item for M0-01-02.
